,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,578,"(460.2352941176471, 91.45886745822828)",502,0.4919404384290724,5.7971682511587135,1090,0.2199208441303364,0.0033725131342078048
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
