,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,48,"(12.833333333333334, 18.693875812891275)",97,1.2378736457304507,256.65065439978923,354,0.2681136151231653,-0.466334140628683
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
