,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,107,"(17.990654205607477, 26.58255042887771)",199,1.069996011223907,138.56412006759703,1021,0.27319696388035425,-0.21985962409649065
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
