,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,193,"(18.569948186528496, 46.40140228324429)",367,1.4169080267272156,12.15449290830898,867,0.32228258817626526,-0.45326920437420853
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
