,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,124,"(18.35483870967742, 58.05620959321662)",439,1.0194160613366035,2.7699996659713464,996,0.29970827282241114,-0.34065633369704174
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
