,,Number of Communities,Avg. Size (St. Dev.),Max Size,Avg. Unweighted Density,Avg. Weighted Density,Communities Covered,f-score,modularity
0,Predicted Communities,86,"(15.674418604651162, 26.831694103830497)",175,1.1264441786379584,172.6217397951369,731,0.2714838774747493,-0.38268675496854415
1,Ground-Truth Communities,167,"(8.706586826347305, 16.352042493271387)",117,0.5000668635431132,19.839139631229834,1109,,-0.23880299008261288
